dataset_code,location_name,location,date_time,z_water_m,z_ice_m,z_diff_m,density,tool,comments,filename,lat,lon
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,11/16/89 0:00,-3.6,3.9,0.3,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/28/89 0:00,-3.25,,,,,S-025 project; Approximation from depth sounding cable,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/28/89 0:00,-3.9,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/28/89 0:00,,3.75,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,11/29/89 0:00,-3.5,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,1/10/90 0:00,-3,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/12/90 0:00,-3.3,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/12/90 0:00,-3.75,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,11/14/90 0:00,-3.47,3.74,0.27,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,11/24/90 0:00,-4,,,,,S-025 project; Estimated from Jiffly flight extensions,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-3,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-2.9,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-3.15,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-3.4,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-3.3,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-3.1,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-3,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,11/24/90 0:00,-3.2,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,11/27/90 0:00,-3.3,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,11/27/90 0:00,-3.6,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,11/27/90 0:00,-3.4,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/11/91 0:00,-2.4,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/11/91 0:00,-2.4,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/11/91 0:00,-2.9,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/11/91 0:00,-3,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/11/91 0:00,-2.9,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/11/91 0:00,-2.8,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/12/91 0:00,-2.6,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,1/13/91 0:00,-2.9,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,1/13/91 0:00,-2.9,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,1/13/91 0:00,-3,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,1/13/91 0:00,-2.1,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,1/13/91 0:00,-3.2,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/13/91 0:00,-2.4,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,1/13/91 0:00,-2.3,,,,,S-025 project; Narrows between both lobes,,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell,1/21/91 0:00,-3.95,4.45,0.5,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Hoare,Lake Hoare,1/21/91 0:00,-2,,,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,12/12/93 0:00,-3.2,3.5,0.3,,,S-025 project; Narrows between both lobes; lake depth 13m,,,
LIMNO_ICE_THICKNESS,Lake Joyce,Lake Joyce,12/3/94 0:00,-5.2,5.5,0.3,,,S-025 project; lake depth 39m,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,12/10/94 0:00,-3.05,3.25,0.2,,,S-025 project; Narrows between both lobes; lake depth 14m,,,
LIMNO_ICE_THICKNESS,Lake Miers,Lake Miers,1/1/95 0:00,,3.9,,,,,,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney,9/1/95 0:00,-3.63,3.94,0.31,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell,9/1/95 0:00,-4.2,4.55,0.35,,,,,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell,9/1/95 0:00,-4.15,4.5,0.35,,,,,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell,9/1/95 0:00,-4.2,4.55,0.35,,,,,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell,9/1/95 0:00,-4.1,4.62,0.52,,,,,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell,9/1/95 0:00,-4.17,4.5,0.33,,,,,,
LIMNO_ICE_THICKNESS,Lake Hoare,Lake Hoare,9/1/95 0:00,-3.99,4.58,0.59,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Hoare,Lake Hoare,9/1/95 0:00,-4.03,4.4,0.37,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Vanda,Lake Vanda,9/1/95 0:00,-2.97,3.2,0.23,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Vanda,Lake Vanda,9/1/95 0:00,-2.97,3.2,0.23,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Vanda,Lake Vanda,9/1/95 0:00,-3,3.21,0.21,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Vanda,Lake Vanda,9/1/95 0:00,-2.97,3.2,0.23,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Vanda,Lake Vanda,9/1/95 0:00,-2.97,3.2,0.23,,,S-025 project,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,9/1/95 0:00,-3.52,3.88,0.36,,,,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,9/1/95 0:00,-3.57,4.05,0.48,,,,,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West Lake Bonney,9/1/95 0:00,-3.54,3.85,0.31,,,,,,
LIMNO_ICE_THICKNESS,Lake Miers,Lake Miers,11/1/95 0:00,-4.03,4.32,0.29,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Miers,Lake Miers,11/1/95 0:00,-4.04,4.3,0.26,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Miers,Lake Miers,11/1/95 0:00,-4.04,4.4,0.36,,,S-025 project,,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 3,12/11/95 0:00,,4.6,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 10,12/11/95 0:00,,4.78,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 8,12/18/95 0:00,,4.9,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 9,12/20/95 0:00,,4.7,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 1,12/22/95 0:00,,4.8,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 5,12/24/95 0:00,,5,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell - hole 11,12/30/95 0:00,,4.5,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell - hole 12,12/31/95 0:00,,4.3,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,West Lake Bonney,West end of Lake Bonney - hole 13,1/8/96 0:00,,3.3,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 9,1/11/96 0:00,,4.4,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 1,1/15/96 0:00,,4.3,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 5,1/17/96 0:00,,4.5,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 6,1/18/96 0:00,,4.73,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 7,1/18/96 0:00,,4.85,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 8,1/18/96 0:00,,4.87,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,West end of Lake Hoare - hole 9,1/18/96 0:00,,4.66,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 1,1/19/96 0:00,,4.8,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 2,1/19/96 0:00,,4.8,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 4,1/19/96 0:00,,4.96,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Hoare,East end of Lake Hoare - hole 5,1/19/96 0:00,,5.02,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell - hole 11,1/20/96 0:00,,3.4,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell - hole 12,1/22/96 0:00,,3.6,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell:  incubation hole,10/24/96 0:00,-4.01,4.18,0.17,0.95933014,"""4"""" Jiffy""",low spot,icethk.xls,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell:  sampling hole,10/24/96 0:00,-3.96,4.11,0.15,0.96350366,"""4"""" Jiffy""",low spot,icethk.xls,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell:  light hole,10/25/96 0:00,-3.99,4.18,0.19,0.95454544,"""4"""" Jiffy""",low spot,icethk.xls,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney:  incubation hole,10/29/96 0:00,-3.75,3.99,0.24,0.9398496,"""4"""" Jiffy""",low spot,icethk.xls,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney:  light hole,10/29/96 0:00,-3.76,4.12,0.36,0.9126214,"""4"""" Jiffy""",,icethk.xls,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney:  sampling hole,10/29/96 0:00,-3.8,4.18,0.38,0.90909094,"""4"""" Jiffy""",,icethk.xls,,
LIMNO_ICE_THICKNESS,Lake Hoare,Lake Hoare:  crystal hole,11/10/96 0:00,-4.35,4.55,0.2,0.95604396,"""4"""" Jiffy""",low spot,icethk.xls,,
LIMNO_ICE_THICKNESS,Lake Joyce,Lake Joyce:  hole 15,11/14/96 0:00,,4.6,,,,Measurement made in conjunction with bathymetry mapping project,thckness.dat,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell:  W sediment traps,11/18/96 0:00,-3.83,4.08,0.25,0.9387255,"""4"""" Jiffy""",low spot,icethk.xls,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell:  51 meters south & 63 meters east of the blue box,11/20/96 0:00,-4.2,4.72,0.52,0.8898305,Kovacs,"""""""avg"""" high smooth area""",icethk.xls,,
LIMNO_ICE_THICKNESS,Lake Fryxell,Lake Fryxell:  thermistor,11/20/96 0:00,-3.93,4.18,0.25,0.9401914,Kovacs,low spot,icethk.xls,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney:  11 meters south & 5 meters east of the blue box,11/27/96 0:00,-3.8,4.4,0.6,0.8636364,Kovacs,,icethk.xls,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney:  19 meters south & 36 meters east of the blue box,11/27/96 0:00,-3.79,4.05,0.26,0.93580246,Kovacs,,icethk.xls,,
LIMNO_ICE_THICKNESS,East Lake Bonney,East Lake Bonney:  31 meters south & 13 meters east of the blue box,11/27/96 0:00,-3.8,4.34,0.54,0.875576,Kovacs,,icethk.xls,,
